autor,título_traducido,lengua,traductor,ciudad,lat,long,editorial,país,año,edición,páginas,título_original,lengua_original
"Borges, Jorge Luis; (Arnold, Fritz; Haefs, Gisbert)", Werke (6) Das Aleph ,German  ,, Frankfurt am Main,50.11552,8.68417, Fischer-Taschenbuch-Verlag ,Germany,1995,2, 167 p, ,Spanish 
"Borges, Jorge Luis; (Arnold, Fritz; Haefs, Gisbert)", Werke (18) Persönliche Bibliothek ,German  ,, Frankfurt am Main,50.11552,8.68417, Fischer-Taschenbuch-Verlag ,Germany,1995,2, 361 p, ,Spanish 
"Borges, Jorge Luis", De onzichtbare roos sonnetten ,Dutch  ," Coenen, Erik ", Amsterdam,52.379189,4.899431, Aalders ,Netherlands,1995,1, 136 p, ,Spanish 
"Borges, Jorge Luis", Opravdanie vecnosti ,Russian  ," Kofman, A.; et al. ", Moskva, 55.75222, 37.61556, DI-DIK ,Russian Federation,1995,1, 1v, ,Spanish 
"Borges, Jorge Luis", Druge raziskave ,Slovenian  ," Fajdiga, Pavel; Velkovrh-Bukilica, Vesna ", Ljubljana,46.05108,14.50513, Literarno-umetniško društvo Literatura ,Slovenia,1995,1, 152 str, Otras inquisiciones ,Spanish 
"Borges, Jorge Luis", Šta ponovo citam predgovori ,Serbian  ," Monros-Stojakovic, Silvija ", Beograd,44.787197,20.457273, Silmir ,Yugoslavia (to 2002),1995,3, 141 str, Prologos ,Spanish 
"Borges, Jorge Luis; (Konstantinovic, Radivoje)"," Izabrana dela proza, poezija, eseji ",Serbian  ,, Beograd,44.787197,20.457273, Draganic ,Yugoslavia (to 2002),1995,3, 322 str, ,Spanish 
"Borges, Jorge Luis; et al.", Snovidjenja sa obala Rio de la Plate argentinsko-urugvajske pripovetke ,Serbian  ," Tatic, Radoje ", Beograd,44.787197,20.457273, Mediterraneo ,Yugoslavia (to 2002),1995,3, 181 str, ,Spanish 
"Borges, Jorge Luis", Suna no hon ,Japanese  , Sinoda Hazime , Tokyo,35.6895,139.69171, Syûeisya ,Japan,1995,1, 270 p, ,Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Six problèmes pour don Isidro Parodi ,French  ," Rosset, Françoise ", Paris,48.8534,2.3488, 10-18 ,France,1995,2, 183 p, couv ill en coul,Spanish 
"Ferrari, Osvaldo; Borges, Jorge Luis", Borges en dialogue ,French  ," Pons, René ", Paris,48.8534,2.3488, Pocket ,France,1995,2, 220 p, couv ill en coul,Spanish 
"Borges, Jorge Luis"," Finzioni, 1935-1944 ",Italian  ," Lucentini, Franco ", Torino,45.116177,7.742615, Einaudi ,Italy,1995,2, 154 p, Ficciones ,Spanish 
"Borges, Jorge Luis", Il piacere della letteratura Oscar Wilde e altri autori ,Italian  ," Tentori Montalto, Francesco ", Palermo,38.13205,13.33561, Novecento ,Italy,1995,2, 95 p,1 ritr. bilingual ed. ,Spanish 
"Wells, Herbert George; Borges, Jorge Luis"," Die Insel des Doktor Moreau, Der frühe Wells ",German  ," Greve, Felix Paul ", Wien,48.20849,16.37208, Zsolnay ,Austria,1996,1, 188 p, The Island of Doctor Moreau,Spanish English 
"Jurado, Alicia; Borges, Jorge Luis", Qu'est-ce que le bouddhisme ? ,French  ," Rosset, Françoise ", Paris,48.8534,2.3488, Gallimard ,France,1996,1, 124 p, couv ill en coul,Spanish 
"Borges, Jorge Luis", Izbrano ,Bulgarian  ," Zlatkova, Anna ", Sofija, 42.69751, 23.32415, LIK ,Bulgaria,1996,1, 296 p, Obras completas t 1-3,Spanish 
"Borges, Jorge Luis", Zrcadla jsou zvláštní vec dva rozhovory ,Czech  ," Mikeš, Petr ", Olomouc,49.59552,17.25175, Votobia ,Czech Republic,1996,1, 92 s, ,English 
"Froeschlin, Eckhard; Borges, Jorge Luis", A Bao A Qu ein imaginäres Wesen ,German  ,, Wuppertal,51.27027,7.16755, Schwarze Seite ,Germany,1996,1, (12) p, ,Spanish 
"Borges, Jorge Luis; (Stortini, Carlos Roberto)"," Borhesov recnik usmeni Borhes, njegove izjave i polemike ",Serbian  ," Matic, Djurdjina; Matic, Filip ", Beograd,44.787197,20.457273, Srpska književna zadruga ,Yugoslavia (to 2002),1996,1, 302 str,2 ed  El diccionario de Borges ,Spanish 
"Borges, Jorge Luis", Husi no hito ,Japanese  , Toki Kôzi , Tokyo,35.6895,139.69171, Hakusuisya ,Japan,1996,1, 257 p, El Aleph ,Spanish 
"Bioy Casares, Adolfo; Borges, Jorge Luis", Sei problemi per don Isidro Parodi ,Italian  ," Brocca, Vanna ", Roma,41.89193,12.51133, Editori riuniti ,Italy,1996,2, 163 p,2 ed Seis problemas para don Isidro Parodi ,Spanish 
"Borges, Jorge Luis", La cifra 46 poesie ,Italian  ," Porzio, Domenico ", Milano,45.46427,9.18951, Mondadori ,Italy,1996,2, 64 p,La cifra ,Spanish 
"Borges, Jorge Luis; (Arnold, Fritz)", Lotterie in Babylon die schönsten Erzählungen ,German  ," Horst, Karl August ", Berlin,52.52437,13.41053, Wagenbach ,Germany,1997,1, 157 p, ,Spanish 
"Borges, Jorge Luis", Shakespeareeui giuk ,Korean  ," Hwang, Byungha ", Seoul,37566,126.9784, Mineumsa ,"Korea, Republic of",1997,2, 210 p, El libro de arena  la memoria de shakespeare ,Spanish 
"Borges, Jorge Luis", Kaljabideuleui iyagee ,Korean  ," Hwang, Byungha ", Seoul,37566,126.9784, Mineumsa ,"Korea, Republic of",1997,2, 210 p," El hacedor, el informe de brodie ",Spanish 
"Borges, Jorge Luis", Nanatu no yoru ,Japanese  , Noya Humiaki , Tokyo,35.6895,139.69171, Misuzu syobô ,Japan,1997,1, 219 p, Siete noches ,Spanish 
"Borges, Jorge Luis", Storia dell'eternità ,Italian  ," Guadalupi, Gianni ", Milano,45.46427,9.18951, Adelphi ,Italy,1997,2, 135 p, Historia de la eternidad ,Spanish 
"Borges, Jorge Luis", Storia universale dell'infamia ,Italian  ," Martinetto, Vittoria; Morino, Angelo ", Milano,45.46427,9.18951, Adelphi ,Italy,1997,2, 115 p, Historia universal de la infamia ,Spanish 
"Borges, Jorge Luis", Alef ,Slovenian  ," Berger, Aleš ", Ljubljana,46.05108,14.50513, Mladinska knjiga ,Slovenia,1997,1, 177 str, avtorj sl El Aleph,Spanish 
"Borges, Jorge Luis", Poezia ,Albanian  ," Leka, Arian; Zeqo, Arnisa ", Tiranë,41.3275,19.81889, DEA ,Albania,1997,1, 78 p, Poemas ,Spanish 
"Borges, Jorge Luis", Cekanje ,Serbian  ," Vidakovic-Petrov, Krinka ", Beograd,44.787197,20.457273, Narodna knjiga - Alfa ,Yugoslavia (to 2002),1997,2, 69 str, ,Spanish 
"Borges, Jorge Luis"," Borhesov recnik usmeni Borhes, njegove izjave i polemike ",Serbian  ," Matic, Djurdjina; Matic, Filip ", Beograd,44.787197,20.457273, Srpska književna zadruga ,Yugoslavia (to 2002),1997,2, 302 str,3 izd  El dicconario de Borges ,Spanish 
"Borges, Jorge Luis", Ficções ,Portuguese  ," Nejas, Carlos ", Lisboa,38.736946,-9.142685, Livros do Brasil ,Portugal,1998,2, 195 p, Ficciones ,Spanish 
"Borges, Jorge Luis", Novas inquirições ,Portuguese  ," Carvalho, G. N. de ", Lisboa,38.736946,-9.142685, Querco ,Portugal,1998,2, 227 p, 2 ed Otras inquisiciones,Spanish 
